id,cardlink,title,english_title,show_type,episodes,status,started_airing,ended_airing,first_premiered,broadcast,producers,licensors,studios,source,genre,theme,demographic,duration,age_rating,score,ratings_count,rank,popularity,members,users_favorited
28,https://myanimelist.net/anime/47917/Bocchi_the_Rock,Bocchi the Rock!,Bocchi the Rock!,TV,12,Finished Airing,"Oct 9, 2022","Dec 25, 2022",Fall 2022,Sundays at 00:00 (JST),"['Aniplex', 'Houbunsha']",None Found,['CloverWorks'],4-koma manga,['Comedy'],"['CGDCT', 'Music']",None,23 min. per ep.,23 min. per ep.,8.82,278519,#29,#451,"471,027","23,007"
29,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,TV,23,Currently Airing,"Jul 6, 2023",?,Summer 2023,Thursdays at 23:56 (JST),"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']",None Found,['MAPPA'],Manga,"['Action', 'Fantasy']",['School'],Shounen,23 min. per ep.,23 min. per ep.,8.82,95459,#30,#356,"578,111","8,650"
30,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,Vinland Saga Season 2,Vinland Saga Season 2,TV,24,Finished Airing,"Jan 10, 2023","Jun 20, 2023",Winter 2023,Tuesdays at 00:30 (JST),"['Dentsu', 'Kodansha', 'Twin Engine']",None Found,['MAPPA'],Manga,"['Action', 'Adventure', 'Drama']","['Gore', 'Historical']",Seinen,25 min. per ep.,25 min. per ep.,8.82,227078,#31,#417,"502,388","10,580"
31,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,Kingdom 3rd Season,Kingdom: Season 3,TV,26,Finished Airing,"Apr 6, 2020","Oct 17, 2021",Spring 2020,Mondays at 00:10 (JST),['Shueisha'],['Funimation'],"['Pierrot', 'Studio Signpost']",Manga,['Action'],"['Historical', 'Military']",Seinen,25 min. per ep.,25 min. per ep.,8.81,35676,#32,#2057,"94,041","1,912"
32,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,Gintama.: Shirogane no Tamashii-hen,Gintama.: Silver Soul Arc,TV,12,Finished Airing,"Jan 8, 2018","Mar 26, 2018",Winter 2018,Mondays at 01:35 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",None Found,['Bandai Namco Pictures'],Manga,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen,24 min. per ep.,24 min. per ep.,8.81,99752,#33,#1124,"204,088","1,140"
33,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,Mob Psycho 100 II,Mob Psycho 100 II,TV,13,Finished Airing,"Jan 7, 2019","Apr 1, 2019",Winter 2019,Mondays at 23:00 (JST),"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music &amp; Pictures', 'Shogakukan']",['Funimation'],['Bones'],Web manga,"['Action', 'Comedy', 'Supernatural']",['Super Power'],None,24 min. per ep.,24 min. per ep.,8.80,921653,#34,#74,"1,462,161","31,843"
34,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,TV,16,Finished Airing,"Dec 7, 2020","Mar 29, 2021",Winter 2021,Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",['Funimation'],['MAPPA'],Manga,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen,23 min. per ep.,23 min. per ep.,8.80,1248358,#35,#40,"1,888,482","51,601"
35,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,Kizumonogatari III: Reiketsu-hen,Kizumonogatari Part 3: Cold-Blooded,Movie,1,Finished Airing,"Jan 6, 2017","Jan 6, 2017",None,None,"['Aniplex', 'Kodansha']",['Aniplex of America'],['Shaft'],Light novel,"['Action', 'Mystery', 'Supernatural']",['Vampire'],None,1 hr. 23 min.,1 hr. 23 min.,8.79,259562,#36,#480,"446,541","7,280"
36,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,TV,11,Finished Airing,"Dec 5, 2021","Feb 13, 2022",Winter 2022,Sundays at 23:15 (JST),"['Aniplex', 'Shueisha']","['Aniplex of America', 'Crunchyroll']",['ufotable'],Manga,"['Action', 'Fantasy']",['Historical'],Shounen,26 min. per ep.,26 min. per ep.,8.78,821499,#37,#95,"1,309,144","23,982"
37,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,Sen to Chihiro no Kamikakushi,Spirited Away,Movie,1,Finished Airing,"Jul 20, 2001","Jul 20, 2001",None,None,"['Dentsu', 'TOHO', 'Tokuma Shoten', 'Tohokushinsha Film Corporation', 'Nippon Television Network', 'Mitsubishi']","['Disney Platform Distribution', 'GKIDS']",['Studio Ghibli'],Original,"['Adventure', 'Award Winning', 'Supernatural']",['Mythology'],None,2 hr. 4 min.,2 hr. 4 min.,8.78,1254107,#38,#44,"1,789,083","31,709"
38,https://myanimelist.net/anime/52034/Oshi_no_Ko,"""Oshi no Ko""",[Oshi No Ko],TV,11,Finished Airing,"Apr 12, 2023","Jun 28, 2023",Spring 2023,Wednesdays at 23:00 (JST),"['Shueisha', 'CyberAgent', 'Kadokawa']",['Sentai Filmworks'],['Doga Kobo'],Manga,"['Drama', 'Supernatural']","['Reincarnation', 'Showbiz']",Seinen,30 min. per ep.,30 min. per ep.,8.78,365411,#39,#295,"655,899","25,208"
39,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,TV,10,Finished Airing,"Oct 8, 2016","Dec 10, 2016",Fall 2016,Saturdays at 01:55 (JST),"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Sentai Filmworks'],['Production I.G'],Manga,['Sports'],"['School', 'Team Sports']",Shounen,24 min. per ep.,24 min. per ep.,8.78,769935,#40,#118,"1,159,850","15,267"
40,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,Monogatari Series: Second Season,Monogatari Series: Second Season,TV,26,Finished Airing,"Jul 7, 2013","Dec 29, 2013",Summer 2013,Sundays at 00:00 (JST),"['Aniplex', 'Kodansha', 'Cyclone Graphics']",['Aniplex of America'],['Shaft'],Light novel,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",['Vampire'],None,25 min. per ep.,25 min. per ep.,8.77,349604,#41,#298,"654,156","23,164"
41,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,Shingeki no Kyojin: The Final Season Part 2,Attack on Titan: Final Season Part 2,TV,12,Finished Airing,"Jan 10, 2022","Apr 4, 2022",Winter 2022,Mondays at 00:05 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",None Found,['MAPPA'],Manga,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen,23 min. per ep.,23 min. per ep.,8.77,658743,#42,#113,"1,175,754","29,470"
42,https://myanimelist.net/anime/263/Hajime_no_Ippo,Hajime no Ippo,Fighting Spirit,TV,75,Finished Airing,"Oct 4, 2000","Mar 27, 2002",Fall 2000,Tuesdays at 00:50 (JST),['VAP'],"['Discotek Media', 'Geneon Entertainment USA']",['Madhouse'],Manga,['Sports'],['Combat Sports'],Shounen,23 min. per ep.,23 min. per ep.,8.76,274621,#43,#370,"560,490","20,721"
43,https://myanimelist.net/anime/1/Cowboy_Bebop,Cowboy Bebop,Cowboy Bebop,TV,26,Finished Airing,"Apr 3, 1998","Apr 24, 1999",Spring 1998,Saturdays at 01:00 (JST),['Bandai Visual'],"['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,"['Action', 'Award Winning', 'Sci-Fi']","['Adult Cast', 'Space']",None,24 min. per ep.,24 min. per ep.,8.75,929572,#44,#43,"1,800,428","79,789"
44,https://myanimelist.net/anime/37521/Vinland_Saga,Vinland Saga,Vinland Saga,TV,24,Finished Airing,"Jul 8, 2019","Dec 30, 2019",Summer 2019,Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine']",['Sentai Filmworks'],['Wit Studio'],Manga,"['Action', 'Adventure', 'Drama']","['Gore', 'Historical']",Seinen,24 min. per ep.,24 min. per ep.,8.74,802485,#45,#81,"1,410,140","44,091"
45,https://myanimelist.net/anime/50160/Kingdom_4th_Season,Kingdom 4th Season,Kingdom: Season 4,TV,26,Finished Airing,"Apr 10, 2022","Oct 2, 2022",Spring 2022,Sundays at 00:00 (JST),"['Avex Pictures', 'Shueisha', 'NHK Enterprises']",None Found,"['Pierrot', 'Studio Signpost']",Manga,['Action'],"['Historical', 'Military']",Seinen,24 min. per ep.,24 min. per ep.,8.74,22568,#46,#2789,"56,230",970
46,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,Mushishi Zoku Shou 2nd Season,Mushi-shi: Next Passage Part 2,TV,10,Finished Airing,"Oct 19, 2014","Dec 21, 2014",Fall 2014,Sundays at 00:30 (JST),"['Aniplex', 'Kodansha', 'Delfi Sound']",['Aniplex of America'],['Artland'],Manga,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",Seinen,23 min. per ep.,23 min. per ep.,8.73,102736,#47,#890,"258,139","1,420"
47,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories: Showa Genroku Rakugo Shinju,TV,12,Finished Airing,"Jan 7, 2017","Mar 25, 2017",Winter 2017,Saturdays at 02:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'DAX Production', 'King Records']",None Found,['Studio Deen'],Manga,['Drama'],"['Adult Cast', 'Historical', 'Love Polygon', 'Performing Arts']",Josei,24 min. per ep.,24 min. per ep.,8.72,63504,#48,#1235,"182,724","3,100"
48,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,Bungou Stray Dogs 5th Season,Bungo Stray Dogs 5,TV,11,Currently Airing,"Jul 12, 2023","Sep 20, 2023",Summer 2023,Wednesdays at 23:00 (JST),"['WOWOW', 'Lantis', 'Movic', 'Glovision', 'Crunchyroll', 'Sunrise Music', 'Kadokawa', 'Sony Music Solutions', 'Bandai Namco Music Live']",None Found,['Bones'],Manga,"['Action', 'Mystery', 'Supernatural']","['Adult Cast', 'Organized Crime', 'Super Power']",Seinen,23 min. per ep.,23 min. per ep.,8.72,15368,#49,#1748,"118,858",911
49,https://myanimelist.net/anime/48569/86_Part_2,86 Part 2,86 Eighty-Six Part 2,TV,12,Finished Airing,"Oct 3, 2021","Mar 19, 2022",Fall 2021,Sundays at 00:00 (JST),"['Aniplex', 'Kadokawa', 'Bandai Spirits']",None Found,['A-1 Pictures'],Light novel,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",None,23 min. per ep.,23 min. per ep.,8.71,251552,#50,#470,"453,413","13,634"
